data_point;region;age_group;vac_interval_group;vaccine;ve_zab;cil_zab;cih_zab;ve_hosp;cil_hosp;cih_hosp;ve_severe;cil_severe;cih_severe;ve_death;cil_death;cih_death
2021.12_26-12-2022;РФ;18-59;21_45_days;AllVaccines;0.5107;0.50393;0.51737;0.557;0.53965;0.5737;0.63645;0.59597;0.67288;0.69866;0.63215;0.75315
2021.12_26-12-2022;РФ;18-59;21_45_days;CoviVac;-0.1489;-0.24114;-0.06352;-0.24125;-0.51322;-0.01817;0.13104;-0.56952;0.5189;0.5304;-0.8783;0.88259
2021.12_26-12-2022;РФ;18-59;21_45_days;EpiVacCorona;0.12266;0.0663;0.17561;-0.38843;-0.58442;-0.21669;-0.13633;-0.63592;0.2107;-0.04818;-1.01603;0.45502
2021.12_26-12-2022;РФ;18-59;21_45_days;SputnikLite;0.38404;0.3692;0.39854;0.50094;0.4645;0.53489;0.59799;0.51101;0.66949;0.66874;0.5196;0.77158
2021.12_26-12-2022;РФ;18-59;21_45_days;SputnikV;0.58357;0.57618;0.59084;0.62733;0.60839;0.64535;0.68854;0.64345;0.72792;0.74044;0.66506;0.79885
2021.12_26-12-2022;РФ;60+;21_45_days;AllVaccines;0.55019;0.54152;0.55871;0.68966;0.67939;0.6996;0.78528;0.76995;0.7996;0.83542;0.81933;0.85007
2021.12_26-12-2022;РФ;60+;21_45_days;CoviVac;-0.12013;-0.29482;0.031;0.10726;-0.12478;0.29143;0.53374;0.17893;0.73523;0.72678;0.34353;0.88628
2021.12_26-12-2022;РФ;60+;21_45_days;EpiVacCorona;0.10783;0.03028;0.17918;-0.00803;-0.12707;0.09843;0.14129;-0.06368;0.30676;0.29552;0.06769;0.46768
2021.12_26-12-2022;РФ;60+;21_45_days;SputnikLite;0.48761;0.47263;0.50216;0.66718;0.64986;0.68365;0.79667;0.77196;0.8187;0.83854;0.81194;0.86138
2021.12_26-12-2022;РФ;60+;21_45_days;SputnikV;0.61705;0.60669;0.62714;0.7409;0.72868;0.75257;0.80875;0.78974;0.82604;0.85804;0.83829;0.87538
2021.12_26-12-2022;РФ;18+;45_75_days;AllVaccines;0.34465;0.33683;0.35238;0.51526;0.50214;0.52803;0.64949;0.62746;0.67021;0.73799;0.71377;0.76017
2021.12_26-12-2022;РФ;18+;45_75_days;CoviVac;-0.49752;-0.62264;-0.38205;-0.11027;-0.3309;0.07378;-0.07927;-0.54375;0.24546;0.54468;0.08947;0.77231
2021.12_26-12-2022;РФ;18+;45_75_days;EpiVacCorona;-0.14412;-0.25756;-0.0409;-0.53;-0.79373;-0.30504;-0.75537;-1.34382;-0.31467;-0.38853;-1.08978;0.07741
2021.12_26-12-2022;РФ;18+;45_75_days;SputnikLite;0.35577;0.34613;0.36526;0.5439;0.52803;0.55924;0.70689;0.68156;0.7302;0.79974;0.77287;0.82343
2021.12_26-12-2022;РФ;18+;45_75_days;SputnikV;0.35907;0.34592;0.37195;0.50508;0.48236;0.5268;0.59724;0.5563;0.6344;0.65595;0.60754;0.6984
2021.12_26-12-2022;РФ;18-59;45_75_days;AllVaccines;0.2966;0.2863;0.30675;0.39796;0.37228;0.42259;0.48108;0.41944;0.53618;0.51547;0.40794;0.60348
